scaf	base	count
NC_042285.1	3370000	1
NC_042285.1	3390000	1
NC_042285.1	3400000	1
NC_042285.1	3440000	1
NC_042285.1	3460000	1
NC_042285.1	3490000	1
NC_042285.1	3520000	5
NC_042285.1	3560000	1
NC_042285.1	3570000	2
NC_042285.1	3580000	1
NC_042285.1	3590000	2
NC_042285.1	3630000	1
NC_042285.1	3670000	7
NC_042285.1	3680000	1
NC_042285.1	3710000	4
NC_042285.1	3720000	1
NC_042285.1	3730000	2
NC_042285.1	3740000	4
NC_042285.1	3750000	4
NC_042285.1	3760000	2
NC_042285.1	3770000	2
NC_042285.1	3780000	6
NC_042285.1	3790000	2
NC_042285.1	3800000	4
NC_042285.1	3810000	4
NC_042285.1	3820000	3
NC_042285.1	3830000	2
NC_042285.1	3860000	1
NC_042285.1	3900000	2
NC_042285.1	3910000	1
NC_042285.1	3940000	1
NC_042285.1	3960000	1
NC_042285.1	3970000	1
NC_042285.1	4030000	2
NC_042285.1	4060000	1
NC_042285.1	4100000	1
NC_042285.1	4130000	2
NC_042285.1	4150000	1
NC_042285.1	4210000	1
NC_042285.1	4230000	1
NC_042285.1	4250000	2
NC_042285.1	4300000	1
NC_042285.1	4440000	1
NC_042285.1	4470000	1
NC_042285.1	4520000	2
NC_042285.1	4560000	1
NC_042285.1	4580000	1
NC_042285.1	4590000	4
NC_042285.1	4600000	1
NC_042285.1	4630000	2
NC_042285.1	4660000	1
NC_042285.1	4670000	4
NC_042285.1	4750000	1
NC_042285.1	4760000	2
NC_042285.1	4770000	1
NC_042285.1	4790000	1
NC_042285.1	4860000	1
NC_042285.1	4880000	2
NC_042285.1	4920000	1
NC_042285.1	4930000	1
NC_042285.1	4940000	4
NC_042285.1	4950000	1
NC_042285.1	5020000	2
NC_042285.1	5030000	1
NC_042285.1	5040000	1
NC_042285.1	5050000	1
NC_042285.1	5070000	2
NC_042285.1	5080000	2
NC_042285.1	5090000	2
NC_042285.1	5120000	1
NC_042285.1	5130000	1
NC_042285.1	5150000	6
NC_042285.1	5180000	3
NC_042285.1	5190000	4
NC_042285.1	5210000	4
NC_042285.1	5230000	5
NC_042285.1	5240000	1
NC_042285.1	5260000	2
NC_042285.1	5310000	1
NC_042285.1	5330000	1
NC_042285.1	5340000	1
NC_042285.1	5350000	2
NC_042285.1	5380000	1
NC_042285.1	5390000	1
NC_042285.1	5400000	1
NC_042285.1	5420000	2
NC_042285.1	5430000	1
NC_042285.1	5470000	1
NC_042285.1	5480000	1
NC_042285.1	5510000	6
NC_042285.1	5530000	5
NC_042285.1	5560000	1
NC_042285.1	5600000	1
NC_042285.1	5620000	1
NC_042285.1	5630000	2
NC_042285.1	5640000	1
NC_042285.1	5650000	2
NC_042285.1	5660000	5
NC_042285.1	5670000	2
NC_042285.1	5680000	6
NC_042285.1	5720000	4
NC_042285.1	5900000	15
NC_042285.1	5910000	3
NC_042285.1	5920000	3
NC_042285.1	5930000	3
NC_042285.1	5940000	17
NC_042285.1	5980000	3
NC_042285.1	5990000	2
NC_042285.1	6030000	1
NC_042285.1	6100000	1
NC_042285.1	6110000	1
NC_042285.1	6130000	1
NC_042285.1	6140000	1
NC_042285.1	6940000	1
NC_042285.1	7060000	1
NC_042285.1	7660000	1
NC_042285.1	8040000	1
NC_042285.1	8350000	1
NC_042285.1	8690000	1
NC_042285.1	8780000	1
NC_042285.1	8950000	1
NC_042285.1	9040000	1
NC_042285.1	9050000	1
NC_042285.1	9060000	1
NC_042285.1	9070000	6
NC_042285.1	9080000	2
NC_042285.1	9090000	2
NC_042285.1	9100000	2
NC_042285.1	9110000	8
NC_042285.1	9120000	1
NC_042285.1	9140000	5
NC_042285.1	9150000	2
NC_042285.1	9180000	1
NC_042285.1	9190000	8
NC_042285.1	9200000	1
NC_042285.1	9220000	2
NC_042285.1	9250000	1
NC_042285.1	9270000	9
NC_042285.1	9280000	4
NC_042285.1	9370000	1
NC_042285.1	9410000	1
NC_042285.1	9420000	2
NC_042285.1	9430000	1
NC_042285.1	9450000	2
NC_042285.1	9460000	7
NC_042285.1	9470000	4
NC_042285.1	9480000	2
NC_042285.1	9490000	12
NC_042285.1	9500000	3
NC_042285.1	9510000	15
NC_042285.1	9520000	11
NC_042285.1	9530000	2
NC_042285.1	9540000	17
NC_042285.1	9550000	20
NC_042285.1	9560000	5
NC_042285.1	9580000	1
NC_042285.1	9590000	4
NC_042285.1	9600000	9
NC_042285.1	9610000	3
NC_042285.1	9620000	3
NC_042285.1	9630000	7
NC_042285.1	9640000	10
NC_042285.1	9650000	2
NC_042285.1	9660000	11
NC_042285.1	9670000	9
NC_042285.1	9690000	5
NC_042285.1	9710000	3
NC_042285.1	9720000	1
NC_042285.1	9740000	1
NC_042285.1	9760000	1
NC_042285.1	9770000	11
NC_042285.1	9780000	1
NC_042285.1	9790000	3
NC_042285.1	9810000	5
NC_042285.1	9820000	2
NC_042285.1	9830000	3
NC_042285.1	9840000	2
NC_042285.1	9850000	1
NC_042285.1	9860000	1
NC_042285.1	9870000	1
NC_042285.1	9930000	1
NC_042285.1	9940000	6
NC_042285.1	9950000	1
NC_042285.1	9960000	2
NC_042285.1	9970000	3
NC_042285.1	9990000	1
NC_042285.1	10000000	3
NC_042285.1	10010000	1
NC_042285.1	10020000	2
NC_042285.1	10030000	2
NC_042285.1	10040000	4
NC_042285.1	10050000	5
NC_042285.1	10060000	5
NC_042285.1	10070000	12
NC_042285.1	10080000	5
NC_042285.1	10090000	14
NC_042285.1	10100000	1
NC_042285.1	10120000	1
NC_042285.1	10130000	2
NC_042285.1	10140000	2
NC_042285.1	10150000	6
NC_042285.1	10160000	3
NC_042285.1	10170000	1
NC_042285.1	10180000	5
NC_042285.1	10190000	1
NC_042285.1	10200000	4
NC_042285.1	10210000	2
NC_042285.1	10220000	1
NC_042285.1	10230000	2
NC_042285.1	10240000	5
NC_042285.1	10250000	8
NC_042285.1	10260000	3
NC_042285.1	10270000	2
NC_042285.1	10290000	3
NC_042285.1	10300000	2
NC_042285.1	10310000	1
NC_042285.1	10320000	1
NC_042285.1	10330000	1
NC_042285.1	10350000	2
NC_042285.1	10370000	3
NC_042285.1	10380000	1
NC_042285.1	10400000	4
NC_042285.1	10410000	1
NC_042285.1	10490000	1
NC_042285.1	10520000	1
NC_042285.1	10530000	4
NC_042285.1	10590000	1
NC_042285.1	10600000	1
NC_042285.1	10610000	2
NC_042285.1	10620000	2
NC_042285.1	10670000	2
NC_042285.1	10690000	1
NC_042285.1	10740000	2
NC_042285.1	10750000	2
NC_042285.1	10760000	2
NC_042285.1	10770000	4
NC_042285.1	10790000	2
NC_042285.1	10820000	1
NC_042285.1	10860000	1
NC_042285.1	10930000	1
NC_042285.1	10940000	1
NC_042285.1	10950000	1
NC_042285.1	10990000	1
NC_042285.1	11020000	1
NC_042285.1	11050000	1
NC_042285.1	11160000	2
NC_042285.1	11180000	3
NC_042285.1	11210000	1
NC_042285.1	11280000	2
NC_042285.1	11300000	3
NC_042285.1	11310000	1
NC_042285.1	11340000	1
NC_042285.1	11350000	2
NC_042285.1	11560000	1
NC_042285.1	11570000	1
NC_042285.1	11590000	1
NC_042285.1	11630000	1
NC_042285.1	11640000	1
NC_042285.1	11660000	1
NC_042285.1	11700000	1
NC_042285.1	11710000	4
NC_042285.1	11720000	2
NC_042285.1	11730000	1
NC_042285.1	11740000	1
NC_042285.1	11750000	1
NC_042285.1	11780000	2
NC_042285.1	11790000	1
NC_042285.1	11800000	1
NC_042285.1	11810000	1
NC_042285.1	11830000	1
NC_042285.1	11840000	1
NC_042285.1	11900000	3
NC_042285.1	11920000	1
NC_042285.1	11960000	1
NC_042285.1	11970000	1
NC_042285.1	11990000	1
NC_042285.1	12020000	2
NC_042285.1	12060000	1
NC_042285.1	12080000	2
NC_042285.1	12100000	1
NC_042285.1	12110000	5
NC_042285.1	12120000	1
NC_042285.1	12140000	1
NC_042285.1	12180000	1
NC_042285.1	12200000	2
NC_042285.1	12210000	1
NC_042285.1	12250000	1
NC_042285.1	12320000	1
NC_042285.1	12330000	1
NC_042285.1	12340000	1
NC_042285.1	12360000	2
NC_042285.1	12380000	2
NC_042285.1	12390000	1
NC_042285.1	12510000	1
NC_042285.1	12560000	1
NC_042285.1	12580000	1
NC_042285.1	12590000	2
NC_042285.1	12600000	1
NC_042285.1	12610000	1
NC_042285.1	12630000	1
NC_042285.1	12680000	2
NC_042285.1	12690000	3
NC_042285.1	12700000	1
NC_042285.1	13130000	2
NC_042285.1	13160000	1
NC_042285.1	13180000	4
NC_042285.1	13190000	1
NC_042285.1	13200000	1
NC_042285.1	13210000	1
NC_042285.1	13290000	4
NC_042285.1	13300000	2
NC_042285.1	13310000	3
NC_042285.1	13330000	3
NC_042285.1	13340000	1
NC_042285.1	13350000	3
NC_042285.1	13410000	4
NC_042285.1	13450000	1
NC_042285.1	13470000	3
NC_042285.1	13500000	1
NC_042285.1	13540000	3
NC_042285.1	13550000	1
NC_042285.1	13590000	1
NC_042285.1	13640000	5
NC_042285.1	13650000	1
NC_042285.1	13690000	1
NC_042285.1	13740000	1
NC_042285.1	13750000	2
NC_042285.1	13760000	5
NC_042285.1	13770000	8
NC_042285.1	13780000	2
NC_042285.1	13790000	3
NC_042285.1	13800000	12
NC_042285.1	13810000	1
NC_042285.1	13820000	2
NC_042285.1	13860000	2
NC_042285.1	13870000	3
NC_042285.1	13880000	2
NC_042285.1	13890000	3
NC_042285.1	13900000	5
NC_042285.1	13910000	2
NC_042285.1	13920000	1
NC_042285.1	13930000	2
NC_042285.1	13970000	1
NC_042285.1	13980000	1
NC_042285.1	14030000	2
NC_042285.1	14040000	2
NC_042285.1	14050000	2
NC_042285.1	14060000	6
NC_042285.1	14070000	4
NC_042285.1	14090000	2
NC_042285.1	14120000	2
NC_042285.1	14130000	1
NC_042285.1	14140000	4
NC_042285.1	14150000	1
NC_042285.1	14170000	4
NC_042285.1	14180000	1
NC_042285.1	14190000	2
NC_042285.1	14200000	1
NC_042285.1	14210000	2
NC_042285.1	14230000	1
NC_042285.1	14240000	1
NC_042285.1	14300000	2
NC_042285.1	14370000	1
NC_042285.1	14390000	1
NC_042285.1	14410000	1
NC_042285.1	14420000	2
NC_042285.1	14570000	1
NC_042285.1	14610000	1
NC_042285.1	14620000	1
NC_042285.1	14630000	1
NC_042285.1	14640000	1
NC_042285.1	14650000	1
NC_042285.1	14660000	1
NC_042285.1	14680000	1
NC_042285.1	14690000	1
NC_042285.1	14700000	1
NC_042285.1	14710000	1
NC_042285.1	14720000	1
NC_042285.1	14740000	1
NC_042285.1	14760000	1
NC_042285.1	14770000	1
NC_042285.1	14800000	1
NC_042285.1	14810000	2
NC_042285.1	14840000	2
NC_042285.1	14880000	1
NC_042285.1	14900000	2
NC_042285.1	14910000	1
NC_042285.1	14920000	1
NC_042285.1	14960000	2
NC_042285.1	14970000	1
NC_042285.1	14980000	1
NC_042285.1	14990000	1
NC_042285.1	15000000	2
NC_042285.1	15010000	5
NC_042285.1	15020000	1
NC_042285.1	15040000	1
NC_042285.1	15060000	1
NC_042285.1	15070000	1
NC_042285.1	15080000	1
NC_042285.1	15120000	2
NC_042285.1	15130000	1
NC_042285.1	15200000	2
NC_042285.1	15210000	1
NC_042285.1	15230000	1
NC_042285.1	15240000	5
NC_042285.1	15250000	4
NC_042285.1	15260000	1
NC_042285.1	15280000	1
NC_042285.1	15290000	10
NC_042285.1	15300000	3
NC_042285.1	15320000	1
NC_042285.1	15340000	2
NC_042285.1	15380000	1
NC_042285.1	15470000	1
NC_042285.1	15480000	2
NC_042285.1	15520000	1
NC_042285.1	15530000	1
NC_042285.1	15540000	1
NC_042285.1	15550000	1
NC_042285.1	15620000	4
NC_042285.1	15650000	1
NC_042285.1	15670000	1
NC_042285.1	15780000	2
NC_042285.1	15790000	1
NC_042285.1	15840000	2
NC_042285.1	15860000	7
NC_042285.1	15890000	1
NC_042285.1	15940000	4
NC_042285.1	15950000	4
NC_042285.1	16000000	3
NC_042285.1	16010000	6
NC_042285.1	16020000	4
NC_042285.1	16030000	2
NC_042285.1	16070000	1
NC_042285.1	16090000	1
NC_042285.1	16140000	2
NC_042285.1	16150000	1
NC_042285.1	16180000	1
NC_042285.1	16220000	2
NC_042285.1	16240000	1
NC_042285.1	16250000	1
NC_042285.1	16270000	1
NC_042285.1	16290000	1
NC_042285.1	16370000	1
NC_042285.1	16380000	1
NC_042285.1	16410000	1
NC_042285.1	16450000	2
NC_042285.1	16490000	1
NC_042285.1	16500000	2
NC_042285.1	16680000	1
NC_042285.1	16690000	2
NC_042285.1	16810000	2
NC_042285.1	16820000	1
NC_042285.1	16830000	1
NC_042285.1	16940000	1
NC_042285.1	16950000	1
NC_042285.1	17010000	1
NC_042285.1	17100000	6
NC_042285.1	17110000	3
NC_042285.1	17170000	1
NC_042285.1	17300000	1
NC_042285.1	17340000	1
NC_042285.1	17460000	1
NC_042285.1	17550000	1
NC_042285.1	17950000	1
NC_042285.1	17970000	1
NC_042285.1	18100000	1
NC_042285.1	18230000	2
NC_042285.1	18390000	1
NC_042285.1	18400000	1
NC_042285.1	18470000	1
NC_042285.1	18530000	1
NC_042285.1	18840000	2
NC_042285.1	18910000	2
NC_042285.1	19080000	1
NC_042285.1	19090000	1
NC_042285.1	19310000	1
NC_042285.1	19350000	1
NC_042285.1	19400000	1
NC_042285.1	19490000	1
NC_042285.1	19520000	1
NC_042285.1	19530000	1
NC_042285.1	19650000	1
NC_042285.1	19710000	3
NC_042285.1	19720000	3
NC_042285.1	19740000	2
NC_042285.1	19750000	2
NC_042285.1	19770000	3
NC_042285.1	19980000	1
NC_042285.1	20020000	1
NC_042285.1	20060000	2
NC_042285.1	20090000	1
NC_042285.1	20130000	2
NC_042285.1	20140000	1
NC_042285.1	20150000	2
NC_042285.1	20260000	2
NC_042285.1	20270000	1
NC_042285.1	20280000	2
NC_042285.1	20290000	1
NC_042285.1	20360000	1
NC_042285.1	20410000	2
NC_042285.1	20530000	3
NC_042285.1	20570000	1
NC_042285.1	21360000	1
NC_042285.1	21410000	2
NC_042285.1	21590000	1
NC_042285.1	21620000	2
NC_042285.1	22360000	4
NC_042285.1	22840000	1
NC_042285.1	22880000	1
NC_042285.1	23010000	1
NC_042285.1	23520000	1
NC_042285.1	23580000	1
NC_042285.1	23790000	1
NC_042285.1	23830000	3
NC_042285.1	23840000	1
NC_042285.1	23850000	1
NC_042285.1	23910000	1
NC_042285.1	23940000	1
NC_042285.1	23970000	1
NC_042285.1	23980000	1
NC_042285.1	23990000	1
NC_042285.1	24140000	1
NC_042285.1	24190000	1
NC_042285.1	24280000	1
NC_042285.1	24360000	1
NC_042285.1	24410000	1
NC_042285.1	24420000	3
NC_042285.1	24460000	1
NC_042285.1	24570000	1
NC_042285.1	24810000	1
NC_042285.1	24850000	1
NC_042285.1	24860000	1
NC_042285.1	25070000	2
NC_042285.1	25100000	1
NC_042285.1	25260000	1
NC_042285.1	25640000	1
NC_042285.1	25810000	1
NC_042285.1	25940000	1
NC_042285.1	26160000	2
NC_042285.1	26280000	1
NC_042285.1	26290000	1
NC_042285.1	26350000	1
NC_042285.1	26360000	3
NC_042285.1	26370000	8
NC_042285.1	26400000	1
NC_042285.1	26430000	1
NC_042285.1	26440000	3
NC_042285.1	26450000	1
NC_042285.1	26460000	3
NC_042285.1	26490000	2
NC_042285.1	26500000	1
NC_042285.1	26510000	2
NC_042285.1	26520000	3
NC_042285.1	26530000	1
NC_042285.1	26540000	2
NC_042285.1	26550000	2
NC_042285.1	26580000	1
NC_042285.1	26590000	5
NC_042285.1	26600000	1
NC_042285.1	26610000	2
NC_042285.1	26640000	2
NC_042285.1	26680000	3
NC_042285.1	26690000	1
NC_042285.1	26700000	3
NC_042285.1	26710000	2
NC_042285.1	26730000	2
NC_042285.1	26800000	1
NC_042285.1	26810000	1
NC_042285.1	26820000	5
NC_042285.1	26830000	5
NC_042285.1	26850000	4
NC_042285.1	26870000	2
NC_042285.1	26890000	3
NC_042285.1	26930000	1
NC_042285.1	26940000	2
NC_042285.1	26960000	1
NC_042285.1	26970000	1
NC_042285.1	26980000	2
NC_042285.1	27020000	4
NC_042285.1	27040000	1
NC_042285.1	27050000	3
NC_042285.1	27060000	1
NC_042285.1	27070000	5
NC_042285.1	27080000	2
NC_042285.1	27090000	1
NC_042285.1	27120000	2
NC_042285.1	27130000	1
NC_042285.1	27140000	1
NC_042285.1	27150000	2
NC_042285.1	27160000	1
NC_042285.1	27170000	4
NC_042285.1	27180000	2
NC_042285.1	27210000	2
NC_042285.1	27220000	1
NC_042285.1	27240000	2
NC_042285.1	27270000	1
NC_042285.1	27280000	2
NC_042285.1	27300000	1
NC_042285.1	27310000	11
NC_042285.1	27320000	8
NC_042285.1	27330000	2
NC_042285.1	27340000	1
NC_042285.1	27350000	2
NC_042285.1	27360000	1
NC_042285.1	27370000	1
NC_042285.1	27380000	1
NC_042285.1	27390000	1
NC_042285.1	27400000	6
NC_042285.1	27410000	3
NC_042285.1	27430000	2
NC_042285.1	27440000	5
NC_042285.1	27450000	1
NC_042285.1	27460000	2
NC_042285.1	27470000	5
NC_042285.1	27480000	1
NC_042285.1	27490000	2
NC_042285.1	27500000	3
NC_042285.1	27510000	2
NC_042285.1	27520000	4
NC_042285.1	27530000	3
NC_042285.1	27540000	1
NC_042285.1	27560000	3
NC_042285.1	27610000	1
NC_042285.1	27620000	1
NC_042285.1	27860000	1
NC_042285.1	27880000	1
NC_042285.1	27890000	5
NC_042285.1	27910000	2
NC_042285.1	27920000	4
NC_042285.1	27930000	4
NC_042285.1	27940000	6
NC_042285.1	27950000	4
NC_042285.1	27960000	1
NC_042285.1	27970000	1
NC_042285.1	27980000	4
NC_042285.1	27990000	1
NC_042285.1	28000000	3
NC_042285.1	28010000	7
NC_042285.1	28030000	1
NC_042285.1	28040000	1
NC_042285.1	28050000	5
NC_042285.1	28060000	4
NC_042285.1	28070000	1
NC_042285.1	28090000	6
NC_042285.1	28110000	3
NC_042285.1	28120000	2
NC_042285.1	28130000	3
NC_042285.1	28150000	2
NC_042285.1	28160000	1
NC_042285.1	28170000	4
NC_042285.1	28180000	7
NC_042285.1	28190000	2
NC_042285.1	28200000	1
NC_042285.1	28220000	1
NC_042285.1	28230000	2
NC_042285.1	28250000	1
NC_042285.1	28260000	2
NC_042285.1	28270000	3
NC_042285.1	28280000	2
NC_042285.1	28290000	2
NC_042285.1	28300000	2
NC_042285.1	28310000	2
NC_042285.1	28330000	3
NC_042285.1	28350000	4
NC_042285.1	28360000	1
NC_042285.1	28370000	4
NC_042285.1	28380000	1
NC_042285.1	28540000	1
NC_042285.1	28550000	1
NC_042285.1	28580000	3
NC_042285.1	28590000	1
NC_042285.1	28640000	1
NC_042285.1	28660000	1
NC_042285.1	28670000	1
NC_042285.1	28730000	1
NC_042285.1	28740000	2
NC_042285.1	28750000	1
NC_042285.1	28760000	4
NC_042285.1	28770000	1
NC_042285.1	28780000	2
NC_042285.1	28800000	2
NC_042285.1	28820000	3
NC_042285.1	28850000	1
NC_042285.1	28860000	2
NC_042285.1	28880000	6
NC_042285.1	28890000	4
NC_042285.1	28900000	1
NC_042285.1	28940000	1
NC_042285.1	29120000	1
NC_042285.1	29170000	4
NC_042285.1	29190000	1
NC_042286.1	730000	1
NC_042286.1	790000	3
NC_042286.1	810000	2
NC_042286.1	830000	1
NC_042286.1	860000	2
NC_042286.1	870000	1
NC_042286.1	1200000	1
NC_042286.1	1600000	1
NC_042286.1	1670000	1
NC_042286.1	1680000	4
NC_042286.1	1730000	1
NC_042286.1	1740000	1
NC_042286.1	1750000	3
NC_042286.1	1780000	2
NC_042286.1	1840000	1
NC_042286.1	1880000	2
NC_042286.1	1890000	2
NC_042286.1	1910000	2
NC_042286.1	1930000	7
NC_042286.1	1940000	3
NC_042286.1	1960000	1
NC_042286.1	1990000	1
NC_042286.1	2000000	1
NC_042286.1	2010000	2
NC_042286.1	2060000	2
NC_042286.1	2070000	5
NC_042286.1	2090000	2
NC_042286.1	2140000	6
NC_042286.1	2150000	7
NC_042286.1	2180000	1
NC_042286.1	2190000	4
NC_042286.1	2200000	1
NC_042286.1	2230000	2
NC_042286.1	2240000	6
NC_042286.1	2250000	1
NC_042286.1	2260000	10
NC_042286.1	2270000	3
NC_042286.1	2320000	1
NC_042286.1	2350000	2
NC_042286.1	2370000	8
NC_042286.1	2380000	3
NC_042286.1	2390000	2
NC_042286.1	2430000	1
NC_042286.1	2480000	1
NC_042286.1	2490000	6
NC_042286.1	2510000	3
NC_042286.1	2520000	1
NC_042286.1	2530000	5
NC_042286.1	2540000	6
NC_042286.1	2550000	2
NC_042286.1	2560000	2
NC_042286.1	2570000	2
NC_042286.1	2580000	4
NC_042286.1	2610000	1
NC_042286.1	2630000	2
NC_042286.1	2640000	5
NC_042286.1	2650000	1
NC_042286.1	2670000	10
NC_042286.1	2680000	4
NC_042286.1	2720000	2
NC_042286.1	2730000	2
NC_042286.1	2740000	1
NC_042286.1	2780000	1
NC_042286.1	2800000	2
NC_042286.1	2810000	3
NC_042286.1	2820000	1
NC_042286.1	2840000	2
NC_042286.1	2850000	2
NC_042286.1	2860000	2
NC_042286.1	2870000	3
NC_042286.1	2880000	4
NC_042286.1	2890000	2
NC_042286.1	2900000	4
NC_042286.1	2910000	2
NC_042286.1	2920000	4
NC_042286.1	2930000	2
NC_042286.1	2950000	3
NC_042286.1	2960000	10
NC_042286.1	2970000	1
NC_042286.1	2980000	4
NC_042286.1	3270000	3
NC_042286.1	3280000	4
NC_042286.1	3290000	11
NC_042286.1	3300000	1
NC_042286.1	3320000	1
NC_042286.1	3330000	3
NC_042286.1	3340000	7
NC_042286.1	3350000	1
NC_042286.1	3360000	1
NC_042286.1	3380000	2
NC_042286.1	3410000	1
NC_042286.1	3420000	3
NC_042286.1	3430000	3
NC_042286.1	3440000	5
NC_042286.1	3450000	1
NC_042286.1	3460000	1
NC_042286.1	3470000	2
NC_042286.1	3480000	3
NC_042286.1	3490000	2
NC_042286.1	3500000	6
NC_042286.1	3520000	4
NC_042286.1	3530000	1
NC_042286.1	3540000	4
NC_042286.1	3550000	1
NC_042286.1	3560000	6
NC_042286.1	3570000	2
NC_042286.1	3600000	2
NC_042286.1	3620000	3
NC_042286.1	3630000	5
NC_042286.1	3640000	6
NC_042286.1	3650000	1
NC_042286.1	3660000	1
NC_042286.1	3670000	9
NC_042286.1	3680000	1
NC_042286.1	3700000	2
NC_042286.1	3710000	2
NC_042286.1	3730000	5
NC_042286.1	3740000	1
NC_042286.1	3750000	1
NC_042286.1	3760000	2
NC_042286.1	3770000	4
NC_042286.1	3780000	1
NC_042286.1	3790000	10
NC_042286.1	3850000	1
NC_042286.1	3860000	7
NC_042286.1	3870000	3
NC_042286.1	3890000	4
NC_042286.1	3910000	2
NC_042286.1	3920000	1
NC_042286.1	3930000	4
NC_042286.1	3940000	3
NC_042286.1	3950000	1
NC_042286.1	3970000	4
NC_042286.1	3980000	5
NC_042286.1	3990000	4
NC_042286.1	4000000	1
NC_042286.1	4010000	3
NC_042286.1	4020000	2
NC_042286.1	4030000	2
NC_042286.1	4040000	7
NC_042286.1	4050000	5
NC_042286.1	4060000	2
NC_042286.1	4070000	5
NC_042286.1	4080000	4
NC_042286.1	4100000	1
NC_042286.1	4110000	2
NC_042286.1	4140000	4
NC_042286.1	4150000	7
NC_042286.1	4160000	8
NC_042286.1	4170000	7
NC_042286.1	4180000	2
NC_042286.1	4190000	1
NC_042286.1	4200000	1
NC_042286.1	4220000	2
NC_042286.1	4230000	5
NC_042286.1	4240000	2
NC_042286.1	4250000	4
NC_042286.1	4330000	1
NC_042286.1	4380000	2
NC_042286.1	4400000	1
NC_042286.1	4420000	1
NC_042286.1	4430000	1
NC_042286.1	4500000	2
NC_042286.1	4550000	1
NC_042286.1	4560000	3
NC_042286.1	4610000	3
NC_042286.1	4630000	2
NC_042286.1	4640000	1
NC_042286.1	4660000	4
NC_042286.1	4670000	1
NC_042286.1	4710000	2
NC_042286.1	4780000	1
NC_042286.1	4810000	1
NC_042286.1	4850000	1
NC_042286.1	4910000	2
NC_042286.1	4920000	1
NC_042286.1	4930000	1
NC_042286.1	4940000	1
NC_042286.1	4970000	1
NC_042286.1	5060000	1
NC_042286.1	5070000	1
NC_042286.1	5090000	1
NC_042286.1	5100000	1
NC_042286.1	5110000	1
NC_042286.1	5140000	1
NC_042286.1	5160000	1
NC_042286.1	5200000	1
NC_042286.1	5430000	2
NC_042286.1	5460000	1
NC_042286.1	5480000	1
NC_042286.1	5540000	1
NC_042286.1	5560000	1
NC_042286.1	5570000	3
NC_042286.1	5580000	2
NC_042286.1	5590000	3
NC_042286.1	5600000	6
